date, value
1/12/1927,15.9099
1/1/1928,14.8898
1/2/1928,14.6271
1/3/1928,16.339
1/4/1928,15.8
1/5/1928,16
1/6/1928,15.312
1/7/1928,14.8321
1/8/1928,15.9313
1/9/1928,16.1374
1/10/1928,15.7101
1/11/1928,17.5942
1/12/1928,17.6449
1/1/1929,17.875
1/2/1929,17.7708
1/3/1929,17.7292
1/4/1929,17.2933
1/5/1929,16.5533
1/6/1929,18.2733
1/7/1929,18.6323
1/8/1929,20.4581
1/9/1929,19.4581
1/10/1929,15
1/11/1929,12.9938
1/12/1929,13.323
1/1/1930,15.7172
1/2/1930,16.0552
1/3/1930,16.6552
1/4/1930,19.3023
1/5/1930,18.9845
1/6/1930,15.8605
1/7/1930,18.7699
1/8/1930,18.9115
1/9/1930,16.4513
1/10/1930,17.4639
1/11/1930,17.0825
1/12/1930,15.8144
1/1/1931,18.2841
1/2/1931,20.375
1/3/1931,18.9659
1/4/1931,19.1013
1/5/1931,16.481
1/6/1931,18.7722
1/7/1931,19.6143
1/8/1931,19.8
1/9/1931,13.8714
1/10/1931,17.2623
1/11/1931,15.5738
1/12/1931,13.3115
1/1/1932,14.0893
1/2/1932,14.8036
1/3/1932,13.0536
1/4/1932,11.4314
1/5/1932,8.7647
1/6/1932,8.6863
1/7/1932,13.2609
1/8/1932,18.2391
1/9/1932,17.5652
1/10/1932,16.9756
1/11/1932,15.9756
1/12/1932,16.8049
1/1/1933,16.5238
1/2/1933,13.4762
1/3/1933,13.9286
1/4/1933,19.3488
1/5/1933,22.4186
1/6/1933,25.3721
1/7/1933,23.1395
1/8/1933,25.7907
1/9/1933,22.8605
1/10/1933,20.3636
1/11/1933,22.4545
1/12/1933,22.9545
1/1/1934,24.8222
1/2/1934,23.9111
1/3/1934,23.8889
1/4/1934,22.2553
1/5/1934,20.4468
1/6/1934,20.8723
1/7/1934,18.0833
1/8/1934,19.0625
1/9/1934,18.9583
1/10/1934,17.9796
1/11/1934,19.4694
1/12/1934,19.3878
1/1/1935,12.4658
1/2/1935,11.9726
1/3/1935,11.6027
1/4/1935,11.4568
1/5/1935,11.8272
1/6/1935,12.6296
1/7/1935,14.5789
1/8/1935,14.8947
1/9/1935,15.25
1/10/1935,16.3947
1/11/1935,17.0395
1/12/1935,17.6711
1/1/1936,18.1139
1/2/1936,18.4177
1/3/1936,18.8861
1/4/1936,15.6477
1/5/1936,16.3636
1/6/1936,16.8636
1/7/1936,16.8617
1/8/1936,17.0106
1/9/1936,17.0319
1/10/1936,16.8725
1/11/1936,16.9412
1/12/1936,16.8431
1/1/1937,16.0631
1/2/1937,16.2973
1/3/1937,16.1441
1/4/1937,14.0427
1/5/1937,13.8974
1/6/1937,13.1624
1/7/1937,13.918
1/8/1937,13.1475
1/9/1937,11.2787
1/10/1937,10.9381
1/11/1937,9.8319
1/12/1937,9.3363
1/1/1938,11.0206
1/2/1938,11.6907
1/3/1938,8.7629
1/4/1938,12.5974
1/5/1938,12.039
1/6/1938,15.013
1/7/1938,20
1/8/1938,19.4516
1/9/1938,19.7419
1/10/1938,20.5781
1/11/1938,19.8906
1/12/1938,20.6406
1/1/1939,17.3239
1/2/1939,17.8873
1/3/1939,15.4648
1/4/1939,14.3684
1/5/1939,15.2632
1/6/1939,14.2895
1/7/1939,14.8642
1/8/1939,13.8025
1/9/1939,16.0741
1/10/1939,14.2556
1/11/1939,13.5556
1/12/1939,13.8778
1/1/1940,12.1717
1/2/1940,12.2525
1/3/1940,12.3737
1/4/1940,11.7212
1/5/1940,8.9135
1/6/1940,9.5962
1/7/1940,9.5278
